,Compound,left,right,TRAN,LMD
346,outbid,out,bid,3.7857142857142856,6.733333333333333
347,outbreak,out,break,3.6666666666666665,5.214285714285714
348,outburst,out,burst,4.285714285714286,6.733333333333333
349,outcast,out,cast,3.2142857142857144,4.6
350,outcome,out,come,3.1333333333333333,4.142857142857143
351,outcry,out,cry,4.714285714285714,7.666666666666667
352,outdo,out,do,3.3333333333333335,5.866666666666666
353,outfield,out,field,5.142857142857143,6.0
354,outfit,out,fit,2.2666666666666666,5.4
355,outflank,out,flank,3.5555555555555554,6.3076923076923075
356,outgrow,out,grow,5.666666666666667,7.133333333333334
357,outlast,out,last,4.166666666666667,6.133333333333334
358,outlaw,out,law,3.7142857142857144,5.666666666666667
359,outlet,out,let,2.466666666666667,4.533333333333333
360,outline,out,line,3.0714285714285716,6.0
361,outlive,out,live,4.4,6.2
362,outlook,out,look,3.466666666666667,6.4
363,outnumber,out,number,3.7142857142857144,6.066666666666666
364,outpatient,out,patient,3.466666666666667,7.0
365,outpost,out,post,3.9166666666666665,6.230769230769231
366,output,out,put,3.2,4.333333333333333
367,outrage,out,rage,3.7333333333333334,7.4
368,outreach,out,reach,4.214285714285714,6.533333333333333
369,outright,out,right,2.6666666666666665,4.866666666666666
370,outrun,out,run,4.071428571428571,6.8
371,outsell,out,sell,3.5714285714285716,6.5
372,outset,out,set,2.6,4.75
373,outshine,out,shine,4.133333333333334,6.6
374,outside,out,side,4.4,2.7333333333333334
375,outsmart,out,smart,4.266666666666667,7.266666666666667
376,outweigh,out,weigh,4.571428571428571,6.6
377,outwit,out,wit,4.266666666666667,5.785714285714286
378,oxcart,ox,cart,4.846153846153846,6.461538461538462
379,padlock,pad,lock,3.75,8.133333333333333
380,paintbox,paint,box,5.5,4.466666666666667
381,paintbrush,paint,brush,6.333333333333333,5.733333333333333
382,parenthood,parent,hood,3.5714285714285716,1.5333333333333334
383,partnership,partner,ship,3.2142857142857144,2.2
384,passageway,passage,way,5.846153846153846,3.8
385,patchwork,patch,work,4.0,3.533333333333333
386,pathway,path,way,5.333333333333333,3.2
387,patrolman,patrol,man,6.142857142857143,4.0
388,pawnshop,pawn,shop,5.538461538461538,7.066666666666666
389,peacetime,peace,time,5.866666666666666,3.7333333333333334
390,peephole,peep,hole,5.714285714285714,5.666666666666667
391,peppermint,pepper,mint,3.533333333333333,7.533333333333333
392,piecemeal,piece,meal,2.9285714285714284,4.583333333333333
393,pigeonhole,pigeon,hole,2.357142857142857,6.642857142857143
394,pillbox,pill,box,6.066666666666666,5.733333333333333
395,pillowcase,pillow,case,6.266666666666667,4.733333333333333
396,pipeline,pipe,line,5.733333333333333,3.7333333333333334
397,pitchfork,pitch,fork,4.214285714285714,7.0
398,pitfall,pit,fall,4.266666666666667,5.071428571428571
